PK,Shipment ID,Indicator,Sent to EBS,Utilization,Weight Utilization,Volume Utilization,EBS Trip,Service Provider Name,Destination Location Name,State,Mode,Equipment,Stops,Total Gross Weight,Total Gross Volume,Loaded Distance,Total Actual Cost,Planned Cost,Start Time,Pull Target Time,City,Destination Postal Code,End Time,Source Location ID,Source Location Name,Destination Location ID,Status,Service Provider ID,Total Ship Unit Count,Update User,Last Update Time,Number of Order Releases,Domain Name
CLP.1089806,1089806,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.15,0.02,20353032,CLOPAY TRUCK,"PRO-TEC DO,HAMPSTEAD,NC,USA",NC,TRUCK,BOXTRUCK,2,1451.57,16.19,209,468.16,468.16,2017-01-16 16:15 America/New_York,,HAMPSTEAD,28443-3303,2017-01-16 16:15 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2544-5671,SECURE RESOURCES_ACCEPTED,CAR-200710,2,CLP.INTEGRATION,2017-01-22 17:09 EST5EDT,2,CLP
CLP.1089901,1089901,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.14,0.02,,CLOPAY TRUCK,"ASHEVILLE ,ASHEVILLE,NC,USA",NC,TRUCK,BOXTRUCK,5,1364.39,18.39,504.2,761.37,592.37,2017-01-18 03:20 America/New_York,,ASHEVILLE,28804-1912,2017-01-18 14:27 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2235-15728,SECURE RESOURCES_ACCEPTED,CAR-200710,70,CLP.INTEGRATION,2017-01-22 17:38 EST5EDT,15,CLP
CLP.1089584,1089584,G,/images/icons/system/accepted.gif,/images/icons/system/40_percent.gif,0.39,0.16,20349589,CLOPAY TRUCK,"MARVIN'S G,EAST BEND,NC,USA",NC,TRUCK,BOXTRUCK,2,3892.21,164.05,53.2,119.16,119.16,2017-01-12 15:28 America/New_York,,EAST BEND,27018-8165,2017-01-12 15:28 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1440-4651,SECURE RESOURCES_ACCEPTED,CAR-200710,102,CLP.INTEGRATION,2017-01-12 22:01 EST5EDT,21,CLP
CLP.1089694,1089694,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.04,0.01,,CLOPAY TRUCK,"ORIGINAL T,SUMMERFIEL,NC,USA",NC,TRUCK,BOXTRUCK,2,407.74,5.05,15,33.6,33.6,2017-01-13 14:14 America/New_York,,SUMMERFIELD,27358,2017-01-13 15:32 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-40555-279965,SECURE RESOURCES_ACCEPTED,CAR-200710,43,CLP.INTEGRATION,2017-01-22 16:33 EST5EDT,6,CLP
CLP.1093967,1093967,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.04,0.01,20411820,CLOPAY TRUCK,"MAGPIE DOO,HILLSBOROU,NC,USA",NC,TRUCK,BOXTRUCK,3,365.9,5.3,115.8,244.13,247.69,2017-03-20 16:12 America/New_York,,HILLSBOROUGH,27278-9800,2017-03-20 16:12 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2091839-232318,SECURE RESOURCES_ACCEPTED,CAR-200710,15,CLP.INTEGRATION,2017-03-20 17:11 EST5EDT,3,CLP
CLP.1070990,1070990,G,/images/icons/system/accepted.gif,/images/icons/system/30_percent.gif,0.31,0.06,20086215,CLOPAY TRUCK,"RUTHERFORD,RUTHERFORD,NC,USA",NC,TRUCK,BOXTRUCK,3,3136.41,59.75,152.8,339.59,339.59,2016-05-04 16:53 America/New_York,,RUTHERFORDTON,28139-8022,2016-05-04 16:53 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-7353-7908,SECURE RESOURCES_ACCEPTED,CAR-200710,41,CLP.INTEGRATION,2016-05-04 17:49 EST5EDT,17,CLP
CLP.1071210,1071210,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.13,0.02,20089608,CLOPAY TRUCK,"ORIGINAL T,SUMMERFIEL,NC,USA",NC,TRUCK,BOXTRUCK,4,1346.46,17.27,434.4,503.33,503.78,2016-05-09 16:17 America/New_York,,SUMMERFIELD,27358,2016-05-09 16:17 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-40555-279965,SECURE RESOURCES_ACCEPTED,CAR-200710,63,CLP.INTEGRATION,2016-05-09 17:22 EST5EDT,11,CLP
CLP.1089519,1089519,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.09,0.02,20348302,CLOPAY TRUCK,"TMS CUSTOM,ASHEVILLE,NC,USA",NC,TRUCK,BOXTRUCK,5,850.74,21.19,316.8,553.17,554.07,2017-01-11 16:44 America/New_York,,ASHEVILLE,28806,2017-01-11 16:44 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2187839-285051,SECURE RESOURCES_ACCEPTED,CAR-200710,22,CLP.INTEGRATION,2017-01-12 00:40 EST5EDT,6,CLP
CLP.1071534,1071534,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.24,0.1,20094183,CLOPAY TRUCK,"SJ KINSER ,BASTIAN,VA,USA",VA,TRUCK,BOXTRUCK,4,2394.45,96.72,152.7,322.56,322.56,2016-05-12 17:51 America/New_York,,BASTIAN,24314-4512,2016-05-12 17:51 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2465-5597,SECURE RESOURCES_ACCEPTED,CAR-200710,117,CLP.INTEGRATION,2016-05-12 18:15 EST5EDT,21,CLP
CLP.1089585,1089585,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0,0,20349599,CLOPAY TRUCK,"KEN'S DOOR,DOBSON,NC,USA",NC,TRUCK,BOXTRUCK,2,2.1,0,73.2,163.96,163.96,2017-01-12 15:34 America/New_York,,DOBSON,27017-8583,2017-01-12 15:34 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2464-15681,SECURE RESOURCES_ACCEPTED,CAR-200710,35,CLP.INTEGRATION,2017-01-12 21:56 EST5EDT,8,CLP
