PK,Shipment ID,Indicator,Sent to EBS,Utilization,Weight Utilization,Volume Utilization,EBS Trip,Service Provider Name,Destination Location Name,State,Mode,Equipment,Stops,Total Gross Weight,Total Gross Volume,Loaded Distance,Total Actual Cost,Planned Cost,Start Time,Pull Target Time,City,Destination Postal Code,End Time,Source Location ID,Source Location Name,Destination Location ID,Status,Service Provider ID,Total Ship Unit Count,Update User,Last Update Time,Number of Order Releases,Domain Name
CLP.1072081,1072081,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.08,0.02,20100388,CLOPAY TRUCK,"TMS CUSTOM,SOMERVILLE,TN,USA",TN,TRUCK,BOXTRUCK,2,791.12,16.05,28.7,84.38,84.38,2016-05-18 12:27 America/Chicago,,SOMERVILLE,38068,2016-05-18 12:27 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-2211841-259328,SECURE RESOURCES_ACCEPTED,CAR-200710,1,CLP.INTEGRATION,2016-05-18 15:10 EST5EDT,1,CLP
CLP.1072546,1072546,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.05,0,20107489,CLOPAY TRUCK,"DOORS & MO,LEXINGTON,TN,USA",TN,TRUCK,BOXTRUCK,5,468.24,3.57,297.6,578.59,634.01,2016-05-25 09:29 America/Chicago,,LEXINGTON,38351-1919,2016-05-25 09:29 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-67554-65892,SECURE RESOURCES_ACCEPTED,CAR-200710,40,CLP.INTEGRATION,2016-05-25 11:38 EST5EDT,6,CLP
CLP.1072669,1072669,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.12,0.03,20109040,CLOPAY TRUCK,"GARAGE DOO,GREENVILLE,MS,USA",MS,TRUCK,BOXTRUCK,3,1248.53,26.23,170.8,501.27,501.27,2016-05-26 11:08 America/Chicago,,GREENVILLE,38701-7737,2016-05-26 11:08 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-6791-7394,SECURE RESOURCES_ACCEPTED,CAR-200710,52,CLP.INTEGRATION,2016-05-26 13:20 EST5EDT,8,CLP
CLP.1092731,1092731,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.02,0,20394717,CLOPAY TRUCK,"GEROLD'S G,PARIS,TN,USA",TN,TRUCK,BOXTRUCK,3,180.4,4.4,174.9,620.79,620.79,2017-03-01 10:01 America/Chicago,,PARIS,38242-6777,2017-03-01 10:01 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-63332-59893,SECURE RESOURCES_ACCEPTED,CAR-200710,30,CLP.INTEGRATION,2017-03-01 11:17 EST5EDT,4,CLP
CLP.1073024,1073024,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.06,0.02,20114690,CLOPAY TRUCK,"CLASSIC DO,CLEVELAND,MS,USA",MS,TRUCK,BOXTRUCK,3,631.21,22.05,212.1,501.42,501.27,2016-06-02 10:23 America/Chicago,,CLEVELAND,38732-3205,2016-06-02 10:23 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-30273-22944,SECURE RESOURCES_ACCEPTED,CAR-200710,58,CLP.INTEGRATION,2016-06-02 13:03 EST5EDT,4,CLP
CLP.1092318,1092318,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.19,0.03,20389304,CLOPAY TRUCK,"GARAGE DOO,GREENVILLE,MS,USA",MS,TRUCK,BOXTRUCK,4,1899.79,26.99,274.7,872,872,2017-02-23 10:54 America/Chicago,,GREENVILLE,38701-7737,2017-02-23 10:54 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-6791-7394,SECURE RESOURCES_ACCEPTED,CAR-200710,67,CLP.INTEGRATION,2017-02-23 13:34 EST5EDT,8,CLP
CLP.1074738,1074738,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.1,0,20138525,CLOPAY TRUCK,"CIMARRON L,HOT SPRING,AR,USA",AR,TRUCK,BOXTRUCK,4,1007.65,3.04,261.9,683.25,683.25,2016-06-24 11:31 America/Chicago,,HOT SPRINGS NATIONAL PARK,71913-4014,2016-06-24 11:31 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1001-1100,SECURE RESOURCES_ACCEPTED,CAR-200710,92,CLP.INTEGRATION,2016-06-24 14:29 EST5EDT,11,CLP
CLP.1092226,1092226,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.03,0.01,20388185,CLOPAY TRUCK,"BRUCE MART,PORTAGEVIL,MO,USA",MO,TRUCK,BOXTRUCK,5,297.33,10.1,231.7,520.09,520.09,2017-02-22 13:06 America/Chicago,,PORTAGEVILLE,63873-9531,2017-02-22 13:06 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-3019871-301391,SECURE RESOURCES_ACCEPTED,CAR-200710,40,CLP.INTEGRATION,2017-02-22 15:11 EST5EDT,5,CLP
CLP.1092428,1092428,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.11,0,20390919,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,5,1099.55,3.78,205.8,639.16,639.16,2017-02-24 14:47 America/Chicago,,SEARCY,72143-6914,2017-02-24 14:47 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,48,CLP.INTEGRATION,2017-02-24 15:57 EST5EDT,8,CLP
CLP.1072771,1072771,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.08,0.02,20110323,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,2,782.65,15.27,120.3,353.68,353.68,2016-05-27 11:17 America/Chicago,,SEARCY,72143-6914,2016-05-27 11:17 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,52,CLP.INTEGRATION,2016-05-27 22:17 EST5EDT,9,CLP
CLP.1091970,1091970,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.14,0.02,20384080,CLOPAY TRUCK,"TMS CUSTOM,LITTLE ROC,AR,USA",AR,TRUCK,BOXTRUCK,5,1365.57,21.88,216.9,539.19,539.19,2017-02-17 09:33 America/Chicago,,LITTLE ROCK,72210,2017-02-17 09:33 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-2187839-303698,SECURE RESOURCES_ACCEPTED,CAR-200710,60,CLP.INTEGRATION,2017-02-17 10:46 EST5EDT,9,CLP
CLP.1072261,1072261,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.03,0,,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,4,346.9,1.8,177.1,437.18,437.18,2016-05-20 09:35 America/Chicago,,SEARCY,72143-6914,2016-05-20 14:18 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,83,CLP.INTEGRATION,2016-05-20 11:55 EST5EDT,7,CLP
CLP.1091816,1091816,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.01,0,20381683,CLOPAY TRUCK,"GARAGE DOO,MC KENZIE,TN,USA",TN,TRUCK,BOXTRUCK,4,98.12,1.27,203.3,457.76,424.83,2017-02-15 13:46 America/Chicago,,MC KENZIE,38201-5325,2017-02-15 13:46 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-52956-47293,SECURE RESOURCES_ACCEPTED,CAR-200710,50,CLP.INTEGRATION,2017-02-15 16:01 EST5EDT,6,CLP
CLP.1094302,1094302,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.02,0,20416054,CLOPAY TRUCK,"GARAGE DOO,GREENVILLE,MS,USA",MS,TRUCK,BOXTRUCK,6,219.29,3.44,307.8,989.46,989.46,2017-03-23 15:07 America/Chicago,,GREENVILLE,38701-7737,2017-03-23 15:07 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-6791-7394,SECURE RESOURCES_ACCEPTED,CAR-200710,22,CLP.INTEGRATION,2017-03-23 23:27 EST5EDT,7,CLP
CLP.1091533,1091533,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.09,0.01,20378359,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,3,853.56,10.95,167.1,422.48,422.48,2017-02-10 16:04 America/Chicago,,SEARCY,72143-6914,2017-02-10 16:04 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,94,CLP.INTEGRATION,2017-02-10 18:37 EST5EDT,8,CLP
